event,catalog,gamma_label,gamma_value,median_n,std_n,delta,in_band
GW190720_000836,GWTC-2.1,Meissner_2004_area,0.237500,5.328957,0.126499,0.014957,1
GW190720_000836,GWTC-2.1,Meissner_2004_area,0.237500,5.328428,0.127103,0.014428,1
GW190725_174728,GWTC-2.1,Meissner_2004_area,0.237500,5.223814,0.222924,-0.090186,1
GW190725_174728,GWTC-2.1,Meissner_2004_area,0.237500,5.222000,0.223477,-0.092000,1
GW190727_060333,GWTC-2.1,Meissner_2004_area,0.237500,5.381212,0.110366,0.067212,1
GW190727_060333,GWTC-2.1,Meissner_2004_area,0.237500,5.387818,0.101830,0.073818,1
GW190728_064510,GWTC-2.1,Meissner_2004_area,0.237500,5.343011,0.172984,0.029011,1
GW190728_064510,GWTC-2.1,Meissner_2004_area,0.237500,5.344084,0.176106,0.030084,1
GW190731_140936,GWTC-2.1,Meissner_2004_area,0.237500,5.348038,0.132550,0.034038,1
GW190731_140936,GWTC-2.1,Meissner_2004_area,0.237500,5.365208,0.123012,0.051208,1
GW190803_022701,GWTC-2.1,Meissner_2004_area,0.237500,5.331141,0.113238,0.017141,1
GW190803_022701,GWTC-2.1,Meissner_2004_area,0.237500,5.340753,0.105032,0.026753,1
GW190805_211137,GWTC-2.1,Meissner_2004_area,0.237500,5.499850,0.177256,0.185850,1
GW190805_211137,GWTC-2.1,Meissner_2004_area,0.237500,5.523785,0.153015,0.209785,1
GW190814_211039,GWTC-2.1,Meissner_2004_area,0.237500,4.188806,0.040036,-1.125194,0
GW190814_211039,GWTC-2.1,Meissner_2004_area,0.237500,4.188698,0.040047,-1.125302,0
GW190828_063405,GWTC-2.1,Meissner_2004_area,0.237500,5.423375,0.060526,0.109375,1
GW190828_063405,GWTC-2.1,Meissner_2004_area,0.237500,5.425386,0.060339,0.111386,1
GW190828_065509,GWTC-2.1,Meissner_2004_area,0.237500,5.176784,0.127938,-0.137216,1
GW190828_065509,GWTC-2.1,Meissner_2004_area,0.237500,5.178312,0.127833,-0.135688,1
GW190910_112807,GWTC-2.1,Meissner_2004_area,0.237500,5.346671,0.068759,0.032671,1
GW190910_112807,GWTC-2.1,Meissner_2004_area,0.237500,5.350029,0.068156,0.036029,1
GW190915_235702,GWTC-2.1,Meissner_2004_area,0.237500,5.328426,0.084057,0.014426,1
GW190915_235702,GWTC-2.1,Meissner_2004_area,0.237500,5.332444,0.081487,0.018444,1
GW190916_200658,GWTC-2.1,Meissner_2004_area,0.237500,5.345254,0.262675,0.031254,1
GW190916_200658,GWTC-2.1,Meissner_2004_area,0.237500,5.402705,0.222557,0.088705,1
GW190917_114630,GWTC-2.1,Meissner_2004_area,0.237500,4.661892,0.215110,-0.652108,1
GW190917_114630,GWTC-2.1,Meissner_2004_area,0.237500,4.660182,0.212879,-0.653818,1
GW190924_021846,GWTC-2.1,Meissner_2004_area,0.237500,5.242714,0.166698,-0.071286,1
GW190924_021846,GWTC-2.1,Meissner_2004_area,0.237500,5.242471,0.168668,-0.071529,1
GW190925_232845,GWTC-2.1,Meissner_2004_area,0.237500,5.364047,0.091030,0.050047,1
GW190925_232845,GWTC-2.1,Meissner_2004_area,0.237500,5.364607,0.091483,0.050607,1
GW190926_050336,GWTC-2.1,Meissner_2004_area,0.237500,5.203975,0.223486,-0.110025,1
GW190926_050336,GWTC-2.1,Meissner_2004_area,0.237500,5.261412,0.197737,-0.052588,1
GW190929_012149,GWTC-2.1,Meissner_2004_area,0.237500,5.095801,0.238233,-0.218199,1
GW190929_012149,GWTC-2.1,Meissner_2004_area,0.237500,5.144256,0.218704,-0.169744,1
GW190930_133541,GWTC-2.1,Meissner_2004_area,0.237500,5.348292,0.171579,0.034292,1
GW190930_133541,GWTC-2.1,Meissner_2004_area,0.237500,5.347949,0.174768,0.033949,1
GW191103_012549,GWTC-3,Meissner_2004_area,0.237500,5.396911,0.126876,0.082911,1
GW191103_012549,GWTC-3,Meissner_2004_area,0.237500,5.394473,0.130190,0.080473,1
GW191105_143521,GWTC-3,Meissner_2004_area,0.237500,5.314576,0.088906,0.000576,1
GW191105_143521,GWTC-3,Meissner_2004_area,0.237500,5.313739,0.089879,-0.000261,1
GW191109_010717,GWTC-3,Meissner_2004_area,0.237500,5.216556,0.135030,-0.097444,1
GW191109_010717,GWTC-3,Meissner_2004_area,0.237500,5.224662,0.130030,-0.089338,1
GW191113_071753,GWTC-3,Meissner_2004_area,0.237500,4.606519,0.294563,-0.707481,1
GW191113_071753,GWTC-3,Meissner_2004_area,0.237500,4.642221,0.321573,-0.671779,1
GW191126_115259,GWTC-3,Meissner_2004_area,0.237500,5.403553,0.101746,0.089553,1
GW191126_115259,GWTC-3,Meissner_2004_area,0.237500,5.402868,0.104767,0.088868,1
GW191127_050227,GWTC-3,Meissner_2004_area,0.237500,5.137021,0.466585,-0.176979,1
GW191127_050227,GWTC-3,Meissner_2004_area,0.237500,5.309647,0.370628,-0.004353,1
GW191129_134029,GWTC-3,Meissner_2004_area,0.237500,5.309756,0.091197,-0.004244,1
GW191129_134029,GWTC-3,Meissner_2004_area,0.237500,5.308777,0.091605,-0.005223,1
GW191204_110529,GWTC-3,Meissner_2004_area,0.237500,5.339525,0.141712,0.025525,1
GW191204_110529,GWTC-3,Meissner_2004_area,0.237500,5.340797,0.144860,0.026797,1
GW191204_171526,GWTC-3,Meissner_2004_area,0.237500,5.387167,0.063196,0.073167,1
GW191204_171526,GWTC-3,Meissner_2004_area,0.237500,5.386799,0.063494,0.072799,1
