event_file,event_type,waveform_key,median_n,std_n,median_redshift,median_lum_dist_Mpc,median_chi_eff,n_samples,in_bbh_band
IGWN-GWTC4p0-0f954158d_720-GW231213_111417-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.38029,0.09033,0.65464,4035.063,0.0767,14380,1
IGWN-GWTC4p0-0f954158d_720-GW231221_135041-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.29813,0.20095,0.70173,4391.681,0.03933,16198,1
IGWN-GWTC4p0-0f954158d_720-GW231223_032836-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.23927,0.16868,0.64147,3936.537,-0.16159,15011,1
IGWN-GWTC4p0-0f954158d_720-GW231223_075055-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.2897,0.13807,0.19136,960.931,0.07208,18392,1
IGWN-GWTC4p0-0f954158d_720-GW231223_202619-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.37843,0.06877,0.17755,884.366,0.10497,13892,1
IGWN-GWTC4p0-0f954158d_720-GW231224_024321-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.34842,0.03787,0.18829,943.851,-0.00516,16775,1
IGWN-GWTC4p0-0f954158d_720-GW231226_101520-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.33863,0.02668,0.22782,1168.174,-0.0738,15030,1
IGWN-GWTC4p0-0f954158d_720-GW231230_170116-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.22859,0.18299,0.86805,5700.183,-0.21668,15694,1
IGWN-GWTC4p0-0f954158d_720-GW231231_154016-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.33311,0.04632,0.20866,1058.382,-0.02865,13245,1
IGWN-GWTC4p0-0f954158d_720-GW240104_164932-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.39889,0.08088,0.3506,1915.091,0.12554,14325,1
IGWN-GWTC4p0-0f954158d_720-GW240107_013215-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.36989,0.28232,0.87456,5752.768,0.33875,18048,1
IGWN-GWTC4p0-0f954158d_720-GW240109_050431-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.25834,0.0862,0.27585,1451.596,-0.07599,15285,1
